order_book_id,trading_hours,market_tplus,symbol,exchange,abbrev_symbol,round_lot,type,de_listed_date,listed_date,status
921387.INDX,,0.0,300瑞郎对冲全收益,,300RLDCQSY,1.0,INDX,0000-00-00,2019-11-15,Active
921388.INDX,"09:31-11:30,13:01-15:00",0.0,中证智选AAA短期公司债指数(净价),,ZXAAADQGSZJ,1.0,INDX,0000-00-00,2019-11-25,Active
921389.INDX,,0.0,300波控3全收益,,300BK3QSY,1.0,INDX,0000-00-00,2019-11-15,Active
921390.INDX,,0.0,500波控3全收益,,500BK3QSY,1.0,INDX,0000-00-00,2019-11-15,Active
921391.INDX,,0.0,红利波控3全收益,,HLBK3QSY,1.0,INDX,0000-00-00,2019-11-15,Active
921392.INDX,"09:31-11:30,13:01-15:00",0.0,中证可转换债券50指数(净价),,ZZ50J,1.0,INDX,0000-00-00,2020-01-14,Active
921393.INDX,,0.0,湖北指数全收益,,HBZSQSY,1.0,INDX,0000-00-00,2020-02-04,Active
921394.INDX,,0.0,信息科技50全收益,,XXKJ50QSY,1.0,INDX,0000-00-00,2020-01-23,Active
921395.INDX,,0.0,沪港深300(全),,HGS300Q,1.0,INDX,0000-00-00,2020-01-14,Active
921396.INDX,,0.0,沪港深300(全)HKD,,HGS300QHKD,1.0,INDX,0000-00-00,2020-01-14,Active
921397.INDX,,0.0,A股通50全收益,,AGT50QSY,1.0,INDX,0000-00-00,2020-02-20,Active
921398.INDX,,0.0,A股通100全收益,,AGT100QSY,1.0,INDX,0000-00-00,2020-02-20,Active
921402.INDX,,0.0,证券先锋全收益,,ZQXFQSY,1.0,INDX,0000-00-00,2020-01-14,Active
921403.INDX,,0.0,品牌工程全收益,,PPGCQSY,1.0,INDX,0000-00-00,2020-01-14,Active
921404.INDX,,0.0,SHS品牌消费50(全),,SHSPPXF50Q,1.0,INDX,0000-00-00,2020-02-20,Active
921405.INDX,,0.0,SHS品牌消费50(全)HKD,,SHSPPXF50QHKD,1.0,INDX,0000-00-00,2020-02-20,Active
921406.INDX,,0.0,5G50全收益,,5G50QSY,1.0,INDX,0000-00-00,2020-02-20,Active
921407.INDX,,0.0,全球金矿(全),,QQJKQ,1.0,INDX,0000-00-00,2020-02-20,Active
921408.INDX,,0.0,全球金矿(全)USD,,QQJKQUSD,1.0,INDX,0000-00-00,2020-02-20,Active
921409.INDX,,0.0,SHS创新药(全),,SHSCXYQ,1.0,INDX,0000-00-00,2020-02-20,Active
921410.INDX,,0.0,SHS创新药(全)HKD,,SHSCXYQHKD,1.0,INDX,0000-00-00,2020-02-20,Active
921411.INDX,"09:31-11:30,13:01-15:00",0.0,中证华泰证券可转换债券价值策略指数(净价),,ZZHTZQZZJZJ,1.0,INDX,0000-00-00,2020-02-20,Active
921412.INDX,,0.0,证券公司30全收益,,ZQGS30QSY,1.0,INDX,0000-00-00,2020-02-20,Active
921414.INDX,"09:31-11:30,13:01-15:00",0.0,中证长三角地方政府债指数(净价),,CSJDZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921415.INDX,"09:31-11:30,13:01-15:00",0.0,中证江苏省地方政府债指数(净价),,JSZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921416.INDX,"09:31-11:30,13:01-15:00",0.0,中证山东省地方政府债指数(净价),,SDZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921417.INDX,"09:31-11:30,13:01-15:00",0.0,中证四川省地方政府债指数(净价),,SCZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921418.INDX,"09:31-11:30,13:01-15:00",0.0,中证湖南省地方政府债指数(净价),,HNZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921419.INDX,"09:31-11:30,13:01-15:00",0.0,中证贵州省地方政府债指数(净价),,GZZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921420.INDX,"09:31-11:30,13:01-15:00",0.0,中证河南省地方政府债指数(净价),,HNZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921421.INDX,"09:31-11:30,13:01-15:00",0.0,中证浙江省地方政府债指数(净价),,ZJZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921422.INDX,"09:31-11:30,13:01-15:00",0.0,中证广东省地方政府债指数(净价),,GDZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921423.INDX,"09:31-11:30,13:01-15:00",0.0,中证河北省地方政府债指数(净价),,HBZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921424.INDX,"09:31-11:30,13:01-15:00",0.0,中证云南省地方政府债指数(净价),,YNZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921425.INDX,"09:31-11:30,13:01-15:00",0.0,中证安徽省地方政府债指数(净价),,AHZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921426.INDX,"09:31-11:30,13:01-15:00",0.0,中证福建省地方政府债指数(净价),,FJZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921427.INDX,"09:31-11:30,13:01-15:00",0.0,中证湖北省地方政府债指数(净价),,HBZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921428.INDX,"09:31-11:30,13:01-15:00",0.0,中证辽宁省地方政府债指数(净价),,LNZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921429.INDX,"09:31-11:30,13:01-15:00",0.0,中证内蒙古自治区地方政府债指数(净价),,NMGZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921430.INDX,"09:31-11:30,13:01-15:00",0.0,中证1-5年期安徽省地方政府债指数(净价),,1-5NAHZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921431.INDX,"09:31-11:30,13:01-15:00",0.0,中证1-5年期福建省地方政府债指数(净价),,1-5NFJZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921432.INDX,"09:31-11:30,13:01-15:00",0.0,中证1-5年期湖北省地方政府债指数(净价),,1-5NHBZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921433.INDX,"09:31-11:30,13:01-15:00",0.0,中证1-5年期辽宁省地方政府债指数(净价),,1-5NLNZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921434.INDX,"09:31-11:30,13:01-15:00",0.0,中证1-5年期内蒙古自治区地方政府债指数(净价),,1-5NNMGZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921435.INDX,"09:31-11:30,13:01-15:00",0.0,中证1-3年期安徽省地方政府债指数(净价),,1-3NAHZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921436.INDX,"09:31-11:30,13:01-15:00",0.0,中证1-3年期福建省地方政府债指数(净价),,1-3NFJZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921437.INDX,"09:31-11:30,13:01-15:00",0.0,中证1-3年期湖北省地方政府债指数(净价),,1-3NHBZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921438.INDX,"09:31-11:30,13:01-15:00",0.0,中证1-3年期辽宁省地方政府债指数(净价),,1-3NLNZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921439.INDX,"09:31-11:30,13:01-15:00",0.0,中证1-3年期内蒙古自治区地方政府债指数(净价),,1-3NNMGZJ,1.0,INDX,0000-00-00,2020-03-13,Active
921440.INDX,,0.0,创新药30全收益,,CXY30QSY,1.0,INDX,0000-00-00,2020-04-21,Active
921441.INDX,,0.0,AI50全收益,,AI50QSY,1.0,INDX,0000-00-00,2020-05-06,Active
921442.INDX,,0.0,SHS科技100(全),,SHSKJ100Q,1.0,INDX,0000-00-00,2020-04-21,Active
921443.INDX,,0.0,SHS科技100(全)HKD,,SHSKJ100QHKD,1.0,INDX,0000-00-00,2020-04-21,Active
921444.INDX,,0.0,SHS高股息100(全),,SHSGGX100Q,1.0,INDX,0000-00-00,2020-04-21,Active
921445.INDX,,0.0,SHS高股息100(全)HKD,,SHSGGX100QHKD,1.0,INDX,0000-00-00,2020-04-21,Active
921446.INDX,,0.0,东证红利低波全收益,,DZHLDBQSY,1.0,INDX,0000-00-00,2020-04-21,Active
921447.INDX,,0.0,科技先锋全收益,,KJXFQSY,1.0,INDX,0000-00-00,2020-04-21,Active
921452.INDX,,0.0,大湾区质量成长均衡(全),,DWQZLCZJHQ,1.0,INDX,0000-00-00,2020-03-13,Active
921453.INDX,,0.0,大湾区质量成长均衡(全)HKD,,DWQZLCZJHQHKD,1.0,INDX,0000-00-00,2020-03-13,Active
921454.INDX,,0.0,港股通消费(全),,GGTXFQ,1.0,INDX,0000-00-00,2020-03-06,Active
921455.INDX,,0.0,港股通消费(全)CNY,,GGTXFQCNY,1.0,INDX,0000-00-00,2020-03-06,Active
921456.INDX,,0.0,中国教育(全),,ZGJYQ,1.0,INDX,0000-00-00,2020-04-21,Active
921457.INDX,,0.0,中国教育(全)HKD,,ZGJYQHKD,1.0,INDX,0000-00-00,2020-04-21,Active
921458.INDX,,0.0,中国教育(全)USD,,ZGJYQUSD,1.0,INDX,0000-00-00,2020-04-21,Active
921459.INDX,,0.0,中证800(全)USD,,ZZ800QUSD,1.0,INDX,0000-00-00,2020-03-11,Active
921460.INDX,,0.0,中证1000(全)USD,,ZZ1000QUSD,1.0,INDX,0000-00-00,2020-03-11,Active
921461.INDX,,0.0,电子50全收益,,DZ50QSY,1.0,INDX,0000-00-00,2009-07-22,Active
921462.INDX,,0.0,SHS中国教育(全)HKD,,SHSZGJYQHKD,1.0,INDX,0000-00-00,2015-07-31,Active
