,id,last_price,name,,,
27,688335.XSHG,9.54,复洁环保,,,
41,600847.XSHG,9.52,万里股份,,,
13,002856.XSHE,9.49,美芝股份,,,
9,300929.XSHE,9.48,华骐环保,,,
309,600857.XSHG,9.41,宁波中百,,,
208,603937.XSHG,9.36,丽岛新材,,,
168,300621.XSHE,9.22,维业股份,,,
150,002828.XSHE,9.18,贝肯能源,,,
134,605567.XSHG,9.15,春雪食品,,,
315,000590.XSHE,8.96,启迪药业,,,
310,603696.XSHG,8.91,安记食品,,,
293,002679.XSHE,8.88,福建金森,,,
369,300839.XSHE,8.86,博汇股份,,,
44,300280.XSHE,8.74,紫天科技,,,
329,300437.XSHE,8.7,清水源,,,
142,002809.XSHE,8.67,红墙股份,,,
63,301098.XSHE,8.56,金埔园林,,,
120,603177.XSHG,8.5,德创环保,,,
192,002836.XSHE,8.5,新宏泽,,,
390,300483.XSHE,8.42,首华燃气,,,
19,002719.XSHE,8.36,麦趣尔,,,
395,600774.XSHG,8.34,汉商集团,,,
105,603022.XSHG,8.31,新通联,,,
305,002529.XSHE,8.1,海源复材,,,
232,002295.XSHE,8,精艺股份,,,
343,002842.XSHE,7.95,翔鹭钨业,,,
336,300472.XSHE,7.82,新元科技,,,
7,688659.XSHG,7.56,元琛科技,,,
198,300246.XSHE,7.56,宝莱特,,,
23,000929.XSHE,7.4,兰州黄河,,,
6,002789.XSHE,7.39,建艺集团,,,
132,300329.XSHE,7.39,海伦钢琴,,,
355,600241.XSHG,7.35,时代万恒,,,
112,300931.XSHE,7.24,通用电梯,,,
196,603789.XSHG,7.21,星光农机,,,
20,300665.XSHE,7.18,飞鹿股份,,,
101,600883.XSHG,7.18,博闻科技,,,
4,688565.XSHG,7.11,力源科技,,,
136,603903.XSHG,7.1,中持股份,,,
35,300749.XSHE,7.09,顶固集创,,,
5,002848.XSHE,7.08,高斯贝尔,,,
288,600778.XSHG,7.01,友好集团,,,
366,300103.XSHE,6.99,达刚控股,,,
328,600051.XSHG,6.98,宁波联合,,,
372,300732.XSHE,6.91,设研院,,,
143,688189.XSHG,6.82,南新制药,,,
262,603725.XSHG,6.8,天安新材,,,
1,688701.XSHG,6.75,卓锦股份,,,
162,603028.XSHG,6.68,赛福天,,,
213,002817.XSHE,6.68,黄山胶囊,,,
271,300670.XSHE,6.59,大烨智能,,,
15,600421.XSHG,6.57,华嵘控股,,,
231,603458.XSHG,6.56,勘设股份,,,
317,002762.XSHE,6.56,金发拉比,,,
318,002998.XSHE,6.56,优彩资源,,,
109,603316.XSHG,6.47,诚邦股份,,,
285,300658.XSHE,6.42,延江股份,,,
183,300334.XSHE,6.37,津膜科技,,,
338,000007.XSHE,6.35,全新好,,,
354,002999.XSHE,6.32,天禾股份,,,
48,002199.XSHE,6.22,东晶电子,,,
79,002193.XSHE,6.21,如意集团,,,
176,300030.XSHE,6.18,阳普医疗,,,
124,600561.XSHG,6.1,江西长运,,,
298,600235.XSHG,6.05,民丰特纸,,,
300,002231.XSHE,6.04,奥维通信,,,
0,000668.XSHE,5.92,荣丰控股,,,
139,300640.XSHE,5.92,德艺文创,,,
240,300883.XSHE,5.92,龙利得,,,
254,000952.XSHE,5.9,广济药业,,,
327,300410.XSHE,5.89,正业科技,,,
307,600302.XSHG,5.88,标准股份,,,
59,603389.XSHG,5.86,亚振家居,,,
65,002207.XSHE,5.86,准油股份,,,
333,300305.XSHE,5.82,裕兴股份,,,
376,300086.XSHE,5.82,康芝药业,,,
201,000663.XSHE,5.81,永安林业,,,
236,300391.XSHE,5.75,长药控股,,,
17,600753.XSHG,5.72,庚星股份,,,
387,002571.XSHE,5.72,德力股份,,,
363,002909.XSHE,5.66,集泰股份,,,
50,600493.XSHG,5.65,凤竹纺织,,,
186,002696.XSHE,5.64,百洋股份,,,
244,000593.XSHE,5.64,德龙汇能,,,
66,603880.XSHG,5.53,南卫股份,,,
253,603001.XSHG,5.52,奥康国际,,,
94,002591.XSHE,5.51,恒大高新,,,
116,603838.XSHG,5.46,四通股份,,,
398,002713.XSHE,5.43,东易日盛,,,
316,600319.XSHG,5.42,亚星化学,,,
189,000953.XSHE,5.31,河化股份,,,
185,600107.XSHG,5.3,美尔雅,,,
211,002072.XSHE,5.3,凯瑞德,,,
90,000638.XSHE,5.29,万方发展,,,
306,002360.XSHE,5.29,同德化工,,,
272,002492.XSHE,5.17,恒基达鑫,,,
84,600543.XSHG,5.13,莫高股份,,,
250,600156.XSHG,5.13,华升股份,,,
205,000633.XSHE,5.04,合金投资,,,
96,300385.XSHE,5.03,雪浪环境,,,
29,300405.XSHE,5.02,科隆股份,,,
179,600202.XSHG,4.97,哈空调,,,
294,002629.XSHE,4.96,仁智股份,,,
86,002188.XSHE,4.95,中天服务,,,
164,002513.XSHE,4.87,蓝丰生化,,,
188,300591.XSHE,4.74,万里马,,,
349,002012.XSHE,4.74,凯恩股份,,,
102,002494.XSHE,4.53,华斯股份,,,
263,600802.XSHG,4.53,福建水泥,,,
119,600149.XSHG,4.51,廊坊发展,,,
169,603335.XSHG,4.45,迪生力,,,
30,603021.XSHG,4.43,山东华鹏,,,
379,600358.XSHG,4.4,国旅联合,,,
175,600791.XSHG,4.26,京能置业,,,
255,603183.XSHG,4.26,建研院,,,
127,002211.XSHE,4.14,宏达新材,,,
370,000757.XSHE,4.14,浩物股份,,,
72,002798.XSHE,4.1,帝欧家居,,,
234,600355.XSHG,4.09,精伦电子,,,
284,600281.XSHG,3.98,华阳新材,,,
45,002620.XSHE,3.91,瑞和股份,,,
114,600193.XSHG,3.9,创兴资源,,,
130,002634.XSHE,3.9,棒杰股份,,,
51,000890.XSHE,3.67,法尔胜,,,
31,603616.XSHG,3.66,韩建河山,,,
265,603188.XSHG,3.63,亚邦股份,,,
353,002775.XSHE,3.63,文科股份,,,
98,000632.XSHE,3.62,三木集团,,,
144,000637.XSHE,3.56,茂化实华,,,
163,000692.XSHE,3.51,惠天热电,,,
181,600892.XSHG,3.42,大晟文化,,,
320,603778.XSHG,3.29,国晟科技,,,
212,002084.XSHE,3.09,海鸥住工,,,
224,600082.XSHG,3.09,海泰发展,,,
55,002652.XSHE,3.05,扬子新材,,,
237,603818.XSHG,3.04,曲美家居,,,
147,600448.XSHG,2.97,华纺股份,,,
3,000691.XSHE,2.96,亚太实业,,,
14,600243.XSHG,2.95,青海华鼎,,,
155,000820.XSHE,2.89,神雾节能,,,
257,002133.XSHE,2.76,广宇集团,,,
357,002247.XSHE,2.64,聚力文化,,,
247,600159.XSHG,2.47,大龙地产,,,
371,002495.XSHE,2.46,佳隆股份,,,
190,002486.XSHE,2.37,嘉麟杰,,,
377,000545.XSHE,2.31,金浦钛业,,,
76,000608.XSHE,2.18,阳光股份,,,
287,300198.XSHE,2.06,纳川股份,,,
197,600408.XSHG,1.91,安泰集团,,,
